Title,Date,Day,Month,Class
Novo Nordisk's weight loss drug Wegovy slashes risk of serious heart events,9 min ago,11,11,Top news health-and-science
"Patients are lining up for $2,500 full-body MRI scans that can detect cancer early ","Fri, Nov 10th 2023",10,11,Top news health-and-science
,"Fri, Nov 10th 2023",10,11,Top news health-and-science
FDA approves Eli Lilly's blockbuster drug for weight loss,"Wed, Nov 8th 2023",8,11,Top news health-and-science
"Pharmacy walkout organizers launch push to unionize pharmacists, technicians","Wed, Nov 8th 2023",8,11,Top news health-and-science
Health AI startup Cercle debuts with backing from Sheryl Sandberg,"Wed, Nov 8th 2023",8,11,Health and Science
Ohio voters enshrine abortion rights in state constitution,"Wed, Nov 8th 2023",8,11,Tech
Planet Fitness shares surge as company raises revenue outlook,"Tue, Nov 7th 2023",7,11,Health and Science
It may be too early to tell how weight loss drugs will affect consumer giants,"Tue, Nov 7th 2023",7,11,Retail
"High school kids are vaping less, FDA and CDC say","Tue, Nov 7th 2023",7,11,Health and Science
Novo Nordisk: 80% of insured U.S. patients taking Wegovy pay less than $25/month,"Tue, Nov 7th 2023",7,11,Health and Science
Eli Lilly says supply of blockbuster diabetes drug Mounjaro has improved in U.S.,"Fri, Nov 3rd 2023",3,11,Health and Science
Eli Lilly results top estimates on Mounjaro strength but slashes profit outlook,"Thu, Nov 2nd 2023",2,11,Health and Science
Moderna stock falls as sinking Covid vaccine demand drives steep loss,"Thu, Nov 2nd 2023",2,11,Health and Science
,"Thu, Nov 2nd 2023",2,11,Health and Science
New lung cancer screening guidelines expand who should get tested annually,"Thu, Nov 2nd 2023",2,11,Analysis
Doctors have new way to scrub personal information from internet ,"Thu, Nov 2nd 2023",2,11,Health and Science
"CVS results top expectations, lifted by strong health services revenue","Wed, Nov 1st 2023",1,11,Tech
"Pfizer swings to loss due to Paxlovid, Covid vaccine write-offs","Wed, Nov 1st 2023",1,11,Health and Science
"Some pharmacy staff from Walgreens, other chains are walking out again","Wed, Nov 1st 2023",1,11,Health and Science
,"Wed, Nov 1st 2023",1,11,Health and Science
"What a work day looks like for Walgreens, CVS pharmacy staff","Tue, Oct 31st 2023",31,10,Analysis
"Pfizer's combination Covid, flu vaccine shows positive trial data","Mon, Oct 30th 2023",30,10,Health and Science
Bristol Myers Squibb earnings top estimates even amid generic competition,"Sun, Oct 29th 2023",29,10,Health and Science
"Merck results beat expectations on strong Keytruda, Covid drug growth","Fri, Oct 27th 2023",27,10,Health and Science
More convenient form of Alzheimer's drug Leqembi shows promising results,"Fri, Oct 27th 2023",27,10,Health and Science
RSV vaccine from GSK shows potential to protect adults 50 to 59,"Thu, Oct 26th 2023",26,10,Health and Science
6 health insurance terms to know as open enrollment starts,"Thu, Oct 26th 2023",26,10,Health and Science
,"Thu, Oct 26th 2023",26,10,Personal Finance
Amazon considers offering pet telehealth as it looks to compete with Walmart,"Wed, Oct 25th 2023",25,10,Trade Alerts
