Date,Close (BNB),Close (BTC),Close (USDT),Close (ETH)
09-11-17,1.99077,7143.580078,1.00818,320.884003
10-11-17,1.79684,6618.140137,1.00601,299.252991
11-11-17,1.67047,6357.600098,1.00899,314.681
12-11-17,1.51969,5950.069824,1.01247,307.90799
13-11-17,1.68662,6559.490234,1.00935,316.716003
14-11-17,1.59258,6635.75,1.00683,337.631012
15-11-17,1.53045,7315.540039,1.00318,333.356995
16-11-17,1.57792,7871.689941,1.00212,330.924011
17-11-17,1.51036,7708.990234,1.00139,332.394012
18-11-17,1.67433,7790.149902,1.00231,347.612
19-11-17,1.61377,8036.490234,1.00244,354.385986
20-11-17,1.62445,8200.639648,1.00192,366.730011
21-11-17,1.57406,8071.259766,0.996047,360.401001
22-11-17,1.61175,8253.549805,1.00015,380.652008
23-11-17,1.5487,8038.77002,0.994631,410.165985
24-11-17,1.71771,8253.69043,1.00233,474.911011
25-11-17,1.87387,8790.919922,1.00541,466.276001
26-11-17,1.85313,9330.549805,1.00868,471.329987
27-11-17,1.94298,9818.349609,1.00129,480.355011
28-11-17,1.91711,10058.79981,1.00014,472.902008
29-11-17,1.75153,9888.610352,0.990606,427.52301
30-11-17,1.99697,10233.59961,1.0081,447.114014
01-12-17,2.07023,10975.59961,1.00978,466.540009
02-12-17,2.08416,11074.59961,0.999654,463.449005
03-12-17,2.22725,11323.2002,1.00066,465.852997
04-12-17,2.49168,11657.2002,1.00367,470.20401
05-12-17,2.5953,11916.7002,1.00197,463.281006
06-12-17,2.58769,14291.5,1.00991,428.588013
07-12-17,2.77995,17899.69922,1.03166,434.40799
08-12-17,2.83067,16569.40039,1.0176,456.031006
09-12-17,2.61043,15178.2002,1.01713,473.502014
10-12-17,2.48337,15455.40039,1.01775,441.721008
11-12-17,2.70665,16936.80078,1.01856,515.135986
12-12-17,2.68475,17415.40039,1.07788,651.43103
13-12-17,2.7781,16408.19922,1.02716,702.767029
14-12-17,3.15874,16564,1.00819,695.815979
15-12-17,3.99615,17706.90039,1.0161,684.447998
16-12-17,4.66465,19497.40039,1.00742,696.208984
17-12-17,5.75672,19140.80078,1.00924,719.974976
18-12-17,5.61585,19114.19922,1.01302,794.64502
19-12-17,5.79233,17776.69922,1.01068,826.822998
20-12-17,5.17621,16624.59961,1.00018,819.085999
21-12-17,5.18001,15802.90039,1.00921,821.062988
22-12-17,4.33615,13831.79981,1.01795,674.859985
23-12-17,4.83926,14699.2002,1.04526,719.387024
24-12-17,5.28568,13925.79981,1.02303,694.14801
25-12-17,6.56001,14026.59961,1.01113,765.833984
26-12-17,9.02942,16099.79981,1.00407,773.835999
27-12-17,10.107,15838.5,1.00366,762.84198
28-12-17,9.32141,14606.5,1.00659,737.02301
29-12-17,8.8076,14656.2002,1.00564,753.59198
30-12-17,7.84101,12952.2002,1.02135,717.257019
31-12-17,8.63558,14156.40039,1.01226,756.732971
01-01-18,8.41461,13657.2002,1.00728,772.640991
02-01-18,8.83777,14982.09961,1.0049,884.44397
03-01-18,9.53588,15201,1.01344,962.719971
04-01-18,9.21399,15599.2002,1.00253,980.921997
05-01-18,14.9172,17429.5,0.998634,997.719971
06-01-18,22.7598,17527,1.00899,1041.680054
07-01-18,18.656799,16477.59961,1.00157,1153.170044
08-01-18,18.2609,15170.09961,1.00932,1148.530029
09-01-18,17.4118,14595.40039,1.00599,1299.73999
10-01-18,17.3908,14973.29981,1.00128,1255.819946
11-01-18,21.0427,13405.79981,1.00171,1154.930054
12-01-18,22.316299,13980.59961,1.00608,1273.199951
13-01-18,22.1744,14360.2002,1.00202,1396.420044
14-01-18,20.7773,13772,1.01612,1366.77002
15-01-18,19.564699,13819.79981,1.00662,1291.920044
16-01-18,13.8919,11490.5,1.03415,1053.689941
17-01-18,14.2032,11188.59961,1.01453,1014.25
18-01-18,14.2804,11474.90039,1.02311,1036.280029
19-01-18,14.9406,11607.40039,1.00454,1039.099976
20-01-18,16.1903,12899.2002,1.00111,1155.150024
21-01-18,14.0683,11600.09961,0.999861,1049.579956
